site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,total,individual,velocity,5,wall.far
nanjingdonglu,total,individual,velocity,6,floor.far
nanjingdonglu,total,individual,velocity,7,person.middle
nanjingdonglu,total,individual,velocity,8,ceiling.near
nanjingdonglu,total,individual,velocity,9,lamp.middle
nanjingdonglu,total,individual,velocity,10,wall.near
nanjingdonglu,total,individual,velocity,11,floor.middle
nanjingdonglu,total,individual,velocity,12,windowpane.middle
nanjingdonglu,total,individual,deviation,1,wall.far
nanjingdonglu,total,individual,deviation,2,person.near
nanjingdonglu,total,individual,deviation,3,lamp.middle
nanjingdonglu,total,individual,deviation,4,floor.near
nanjingdonglu,total,individual,deviation,5,column.near
nanjingdonglu,total,individual,deviation,6,person.middle
nanjingdonglu,total,individual,deviation,7,ceiling.near
nanjingdonglu,total,individual,deviation,8,floor.far
nanjingdonglu,total,individual,deviation,9,railing.far
nanjingdonglu,total,individual,deviation,10,ceiling.far
nanjingdonglu,total,individual,deviation,11,column.middle
nanjingdonglu,total,individual,deviation,12,lamp.near
nanjingdonglu,total,comprehensive,velocity,1,near_ratio
nanjingdonglu,total,comprehensive,velocity,2,middle_ratio
nanjingdonglu,total,comprehensive,velocity,3,far_ratio
nanjingdonglu,total,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,total,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,total,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,total,comprehensive,velocity,7,visibility_near_ratio
nanjingdonglu,total,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,total,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,total,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,total,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,total,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,total,comprehensive,deviation,1,near_ratio
nanjingdonglu,total,comprehensive,deviation,2,middle_ratio
nanjingdonglu,total,comprehensive,deviation,3,far_ratio
nanjingdonglu,total,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,total,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,total,comprehensive,deviation,6,obstacle_far_density
nanjingdonglu,total,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,total,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,total,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,total,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,total,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,total,comprehensive,deviation,12,clutter_far_degree
wujiaochang,segment1,individual,velocity,1,ceiling.far
wujiaochang,segment1,individual,velocity,2,wall.middle
wujiaochang,segment1,individual,velocity,3,light.far
wujiaochang,segment1,individual,velocity,4,floor.far
wujiaochang,segment1,individual,velocity,5,person.middle
wujiaochang,segment1,individual,velocity,6,painting.near
wujiaochang,segment1,individual,velocity,7,ceiling.middle
wujiaochang,segment1,individual,velocity,8,floor.near
wujiaochang,segment1,individual,velocity,9,windowpane.near
wujiaochang,segment1,individual,velocity,10,wall.far
wujiaochang,segment1,individual,velocity,11,light.middle
wujiaochang,segment1,individual,velocity,12,wall.near
wujiaochang,segment1,individual,deviation,1,painting.near
wujiaochang,segment1,individual,deviation,2,person.middle
wujiaochang,segment1,individual,deviation,3,floor.far
wujiaochang,segment1,individual,deviation,4,light.near
wujiaochang,segment1,individual,deviation,5,wall.middle
wujiaochang,segment1,individual,deviation,6,light.far
wujiaochang,segment1,individual,deviation,7,ceiling.far
wujiaochang,segment1,individual,deviation,8,wall.near
wujiaochang,segment1,individual,deviation,9,floor.near
wujiaochang,segment1,individual,deviation,10,ceiling.middle
wujiaochang,segment1,individual,deviation,11,ceiling.near
wujiaochang,segment1,individual,deviation,12,wall.far
wujiaochang,segment1,comprehensive,velocity,1,near_ratio
wujiaochang,segment1,comprehensive,velocity,2,middle_ratio
wujiaochang,segment1,comprehensive,velocity,3,far_ratio
wujiaochang,segment1,comprehensive,velocity,4,obstacle_near_density
wujiaochang,segment1,comprehensive,velocity,5,obstacle_middle_density
wujiaochang,segment1,comprehensive,velocity,6,obstacle_far_density
wujiaochang,segment1,comprehensive,velocity,7,visibility_near_ratio
wujiaochang,segment1,comprehensive,velocity,8,visibility_middle_ratio
wujiaochang,segment1,comprehensive,velocity,9,visibility_far_ratio
wujiaochang,segment1,comprehensive,velocity,10,clutter_near_degree
wujiaochang,segment1,comprehensive,velocity,11,clutter_middle_degree
wujiaochang,segment1,comprehensive,velocity,12,clutter_far_degree
wujiaochang,segment1,comprehensive,deviation,1,near_ratio
wujiaochang,segment1,comprehensive,deviation,2,middle_ratio
wujiaochang,segment1,comprehensive,deviation,3,far_ratio
wujiaochang,segment1,comprehensive,deviation,4,obstacle_near_density
wujiaochang,segment1,comprehensive,deviation,5,obstacle_middle_density
wujiaochang,segment1,comprehensive,deviation,6,obstacle_far_density
wujiaochang,segment1,comprehensive,deviation,7,visibility_near_ratio
wujiaochang,segment1,comprehensive,deviation,8,visibility_middle_ratio
wujiaochang,segment1,comprehensive,deviation,9,visibility_far_ratio
wujiaochang,segment1,comprehensive,deviation,10,clutter_near_degree
wujiaochang,segment1,comprehensive,deviation,11,clutter_middle_degree
wujiaochang,segment1,comprehensive,deviation,12,clutter_far_degree
wujiaochang,segment2,individual,velocity,1,person.far
